ik,I
je,you
het,the 
de,the
dat,Which
is,is
een,a
niet,not 
en,and
van,by
wat,what
we,we
in,in
ze,they
hij,he
te,at
zijn,to be
op,on
maar,but
er,there
met,of
voor,for
die,That
heb,have got
me,me
als,as
was,used to be
ben,am
om,to
dit,this
mijn,mine
aan,at
u,you
dan,than
n,n
naar,nasty
weet,know
hier,here
zo,like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want to
hebben,to have
goed,good 
haar,hair
nee,new
hoe,how
nu,now
waar,true
over,about
ook,also
doen,to do
uit,from
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,Bee
al,already
ons,us
had,had
iets,something
daar,there
jullie,you
gaat,goes
zal,shall
m,m
hebt,have
kom,bowl
waarom,Why
meer,Lake
deze,this one
moeten,should
t,t
laat,leave
kunnen,can
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,real
doe,off
door,by means of
alleen,only
s,s
toch,However
zien,see
weg,away
eens,once
man,man
misschien,maybe
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,coming
toen,then
veel,loads of
even,for a bit
onze,our
gewoon,just
weten,know
komen,come
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,again
leven,to live
twee,two
net,just
tegen,against
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
z,Z
hou,keep
kijk,look
heel,all
wij,we 
altijd,all the time
mag,allowed
gedaan,done
dood,dead
zeker,secure
af,off
jaar,year
hun,their
wilde,wild
dag,day
allemaal,all of them
jouw,your
huis,House
dacht,thought
doet,is doing
vader,father
kunt,can
wacht,guard
zie,see 
vrouw,woman
keer,time
andere,Others
zoals,like
zij,she
dank,thanks
anders,different
geef,give
waren,goods
willen,want
zich,herself
bedankt,thanks
één,a
mr,MR
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everybody
beter,better
werd,became
moeder,mother
niemand,nobody
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,within
zitten,sit
zullen,shall
na,after
helpen,help out
